ID,Class
5,drilling
7,dog_bark
8,drilling
9,children_playing
13,jackhammer
14,drilling
16,street_music
21,children_playing
23,engine_idling
25,siren
28,air_conditioner
29,children_playing
30,dog_bark
31,children_playing
34,air_conditioner
39,engine_idling
41,dog_bark
51,children_playing
53,jackhammer
55,children_playing
58,air_conditioner
62,children_playing
64,dog_bark
69,jackhammer
70,jackhammer
73,children_playing
75,engine_idling
85,dog_bark
86,children_playing
89,children_playing
94,engine_idling
95,dog_bark
96,jackhammer
98,engine_idling
102,drilling
106,siren
107,siren
108,car_horn
109,jackhammer
110,street_music
111,siren
112,street_music
115,jackhammer
122,air_conditioner
124,drilling
126,dog_bark
127,engine_idling
129,children_playing
133,drilling
141,children_playing
143,jackhammer
144,children_playing
145,siren
147,drilling
150,engine_idling
151,children_playing
154,children_playing
155,siren
156,jackhammer
157,children_playing
158,street_music
161,children_playing
166,air_conditioner
169,children_playing
173,children_playing
177,jackhammer
180,air_conditioner
181,dog_bark
183,children_playing
190,children_playing
191,dog_bark
194,air_conditioner
195,dog_bark
198,jackhammer
199,children_playing
201,children_playing
203,children_playing
204,jackhammer
205,dog_bark
206,dog_bark
207,drilling
209,drilling
210,children_playing
220,air_conditioner
225,jackhammer
231,children_playing
234,car_horn
237,children_playing
238,children_playing
240,dog_bark
241,drilling
243,children_playing
244,jackhammer
254,dog_bark
256,air_conditioner
257,air_conditioner
259,children_playing
262,air_conditioner
265,jackhammer
266,dog_bark
267,jackhammer
273,jackhammer
274,jackhammer
279,drilling
281,dog_bark
283,siren
284,children_playing
287,jackhammer
289,drilling
290,dog_bark
291,dog_bark
292,air_conditioner
293,children_playing
294,drilling
296,children_playing
297,dog_bark
298,children_playing
302,siren
320,jackhammer
321,car_horn
325,jackhammer
340,children_playing
341,dog_bark
344,street_music
345,engine_idling
362,dog_bark
373,gun_shot
375,dog_bark
379,engine_idling
384,children_playing
387,jackhammer
389,engine_idling
390,engine_idling
393,air_conditioner
398,children_playing
399,dog_bark
403,air_conditioner
404,dog_bark
405,children_playing
409,dog_bark
415,jackhammer
416,dog_bark
420,engine_idling
421,children_playing
422,children_playing
424,dog_bark
431,siren
432,engine_idling
433,dog_bark
434,children_playing
439,children_playing
441,air_conditioner
443,children_playing
448,children_playing
451,car_horn
458,children_playing
460,children_playing
463,children_playing
465,jackhammer
466,siren
469,dog_bark
476,dog_bark
478,children_playing
481,children_playing
483,jackhammer
487,air_conditioner
490,air_conditioner
492,siren
494,children_playing
496,air_conditioner
499,children_playing
502,children_playing
503,siren
504,air_conditioner
505,children_playing
508,engine_idling
510,jackhammer
514,jackhammer
517,drilling
518,air_conditioner
521,children_playing
526,children_playing
529,air_conditioner
530,children_playing
531,children_playing
535,car_horn
536,jackhammer
539,drilling
541,siren
545,jackhammer
546,children_playing
548,children_playing
550,children_playing
552,engine_idling
553,siren
558,engine_idling
563,engine_idling
574,siren
577,dog_bark
581,dog_bark
582,street_music
588,street_music
591,air_conditioner
592,engine_idling
595,children_playing
596,gun_shot
601,drilling
602,dog_bark
608,jackhammer
609,street_music
616,siren
617,jackhammer
618,jackhammer
625,dog_bark
626,children_playing
627,jackhammer
628,engine_idling
632,dog_bark
634,jackhammer
637,air_conditioner
638,siren
640,children_playing
641,air_conditioner
644,siren
647,children_playing
649,children_playing
650,car_horn
653,air_conditioner
667,siren
668,gun_shot
672,engine_idling
674,siren
675,air_conditioner
678,car_horn
680,jackhammer
681,children_playing
682,children_playing
696,car_horn
700,jackhammer
701,jackhammer
706,children_playing
707,drilling
708,jackhammer
711,children_playing
715,children_playing
718,drilling
723,drilling
725,dog_bark
731,jackhammer
736,dog_bark
741,siren
743,engine_idling
745,dog_bark
747,children_playing
756,jackhammer
759,drilling
762,children_playing
763,drilling
767,drilling
768,air_conditioner
769,jackhammer
774,children_playing
775,dog_bark
777,air_conditioner
779,dog_bark
781,dog_bark
782,jackhammer
786,dog_bark
788,engine_idling
789,jackhammer
793,jackhammer
795,jackhammer
797,dog_bark
800,engine_idling
805,air_conditioner
806,dog_bark
808,jackhammer
814,air_conditioner
815,dog_bark
818,jackhammer
822,drilling
823,air_conditioner
827,drilling
828,drilling
831,siren
836,jackhammer
837,children_playing
842,siren
846,jackhammer
847,children_playing
852,air_conditioner
856,drilling
861,children_playing
862,jackhammer
866,street_music
873,drilling
877,children_playing
879,drilling
880,jackhammer
888,engine_idling
890,dog_bark
895,engine_idling
897,air_conditioner
902,children_playing
903,children_playing
908,children_playing
909,dog_bark
910,jackhammer
917,jackhammer
918,siren
920,jackhammer
924,children_playing
931,street_music
934,jackhammer
935,drilling
936,gun_shot
939,children_playing
940,children_playing
942,air_conditioner
